index,tweet_created_at
1,1605101225.0
2,1605101251.0
3,1605101228.0
4,1605101224.0
5,1605101245.0
6,1605101242.0
7,1605101236.0
8,1605101235.0
9,1605101228.0
10,1605101221.0
11,1605101249.0
12,1605101237.0
13,1605101231.0
14,1605101224.0
15,1605101223.0
16,1605101254.0
17,1605101251.0
18,1605101248.0
19,1605101244.0
20,1605101219.0
21,1605101243.0
22,1605101243.0
23,1605101234.0
24,1605101230.0
25,1605101219.0
26,1605101217.0
27,1605101247.0
28,1605101248.0
29,1605101243.0
30,1605101243.0
31,1605101242.0
32,1605101242.0
33,1605101237.0
34,1605101236.0
35,1605101232.0
36,1605101229.0
37,1605101232.0
38,1605101224.0
39,1605101224.0
40,1605101254.0
41,1605101238.0
42,1605101222.0
43,1605101222.0
44,1605101237.0
45,1605101236.0
46,1605101233.0
47,1605101242.0
48,1605101240.0
49,1605101226.0
50,1605101238.0
51,1605101253.0
52,1605101214.0
53,1605101252.0
54,1605101251.0
55,1605101247.0
56,1605101222.0
57,1605101252.0
58,1605101229.0
59,1605101222.0
60,1605101221.0
61,1605101254.0
62,1605101232.0
63,1605101232.0
64,1605101225.0
65,1605101213.0
66,1605101207.0
67,1605101206.0
68,1605101204.0
69,1605101197.0
70,1605101196.0
71,1605101195.0
72,1605101184.0
73,1605101180.0
74,1605101203.0
75,1605101190.0
76,1605101186.0
77,1605101185.0
78,1605101183.0
79,1605101179.0
80,1605101177.0
81,1605101210.0
82,1605101200.0
83,1605101196.0
84,1605101195.0
85,1605101183.0
86,1605101213.0
87,1605101210.0
88,1605101204.0
89,1605101181.0
90,1605101176.0
91,1605101201.0
92,1605101183.0
93,1605101213.0
94,1605101187.0
95,1605101173.0
96,1605101202.0
97,1605101181.0
98,1605101179.0
99,1605101176.0
100,1605101173.0
101,1605101192.0
102,1605101195.0
103,1605101190.0
104,1605101183.0
105,1605101192.0
106,1605101186.0
107,1605101184.0
108,1605101199.0
109,1605101202.0
110,1605101183.0
111,1605101179.0
112,1605101179.0
113,1605101197.0
114,1605101190.0
115,1605101182.0
116,1605101180.0
117,1605101175.0
118,1605101211.0
119,1605101210.0
120,1605101208.0
121,1605101196.0
122,1605101193.0
123,1605101189.0
124,1605101179.0
125,1605101175.0
126,1605101189.0
127,1605101185.0
128,1605101173.0
129,1605101155.0
130,1605101154.0
131,1605101133.0
132,1605101125.0
133,1605101151.0
134,1605101146.0
135,1605101144.0
136,1605101165.0
137,1605101162.0
138,1605101160.0
139,1605101137.0
140,1605101152.0
141,1605101151.0
142,1605101144.0
143,1605101142.0
144,1605101135.0
145,1605101135.0
146,1605101134.0
147,1605101132.0
148,1605101170.0
149,1605101170.0
150,1605101169.0
151,1605101153.0
152,1605101153.0
153,1605101142.0
154,1605101150.0
155,1605101145.0
156,1605101132.0
157,1605101128.0
158,1605101170.0
159,1605101166.0
160,1605101163.0
161,1605101160.0
162,1605101158.0
163,1605101152.0
164,1605101132.0
165,1605101131.0
166,1605101128.0
167,1605101158.0
168,1605101157.0
169,1605101156.0
170,1605101169.0
171,1605101151.0
172,1605101149.0
173,1605101128.0
174,1605101156.0
175,1605101153.0
176,1605101148.0
177,1605101146.0
178,1605101140.0
179,1605101140.0
180,1605101140.0
181,1605101142.0
182,1605101136.0
183,1605101127.0
184,1605101163.0
185,1605101150.0
186,1605101145.0
187,1605101131.0
188,1605101161.0
189,1605101152.0
190,1605101142.0
191,1605101149.0
192,1605101127.0
193,1605101122.0
194,1605101112.0
195,1605101108.0
196,1605101108.0
197,1605101106.0
198,1605101099.0
199,1605101083.0
200,1605101272.0
201,1605101254.0
202,1605101244.0
203,1605101121.0
204,1605101117.0
205,1605101103.0
206,1605101086.0
207,1605101083.0
208,1605101280.0
209,1605101274.0
210,1605101267.0
211,1605101265.0
212,1605101260.0
213,1605101249.0
214,1605101232.0
215,1605101225.0
216,1605101123.0
217,1605101119.0
218,1605101112.0
219,1605101112.0
220,1605101107.0
221,1605101107.0
222,1605101105.0
223,1605101087.0
224,1605101082.0
225,1605101261.0
226,1605101253.0
227,1605101239.0
228,1605101238.0
229,1605101225.0
230,1605101115.0
231,1605101084.0
232,1605101259.0
233,1605101252.0
234,1605101243.0
235,1605101242.0
236,1605101239.0
237,1605101236.0
238,1605101113.0
239,1605101121.0
240,1605101111.0
241,1605101104.0
242,1605101094.0
243,1605101094.0
244,1605101093.0
245,1605101269.0
246,1605101258.0
247,1605101250.0
248,1605101242.0
249,1605101231.0
250,1605101225.0
251,1605101222.0
252,1605101117.0
253,1605101098.0
254,1605101264.0
255,1605101253.0
256,1605101246.0
257,1605101246.0
258,1605101231.0
259,1605101230.0
